id,timestamp,contract,order_id,size,price,role,fee,text
626311813,2025-11-19T00:18:21.195200,ETH_USDT,63894831486942505,-1,3138.99,taker,0.01569495,ao-1990773505800540160
626019636,2025-11-18T21:25:29.784500,ETH_USDT,63894831469854883,1,3033.07,taker,0.01516535,app
626013617,2025-11-18T21:20:30.897900,ETH_USDT,63894831469568685,1,3046.89,taker,0.01523445,close_all
626010310,2025-11-18T21:10:14.981500,ETH_USDT,63894831469120916,-1,3045.36,taker,0.0152268,api
626009565,2025-11-18T21:08:10.671700,ETH_USDT,63894831469026472,6,3042.61,taker,0.0912783,close_all
626009237,2025-11-18T21:07:30.935500,ETH_USDT,63894831468994440,-1,3039.51,taker,0.01519755,app
626009073,2025-11-18T21:07:17.328100,ETH_USDT,63894831468985545,1,3040.23,taker,0.01520115,api
626009072,2025-11-18T21:07:17.215200,ETH_USDT,63894831468985453,-1,3040.22,taker,0.0152011,api
626009069,2025-11-18T21:07:17.159000,ETH_USDT,63894831468985440,-1,3040.22,taker,0.0152011,api
626009065,2025-11-18T21:07:17.041400,ETH_USDT,63894831468985370,-1,3040.22,taker,0.0152011,api
626009064,2025-11-18T21:07:16.983400,ETH_USDT,63894831468985311,-1,3040.22,taker,0.0152011,api
626009057,2025-11-18T21:07:15.904700,ETH_USDT,63894831468984543,-1,3040.17,taker,0.01520085,api
626009055,2025-11-18T21:07:15.844400,ETH_USDT,63894831468984434,-1,3040.0,taker,0.0152,api
626009039,2025-11-18T21:07:15.655300,ETH_USDT,63894831468984327,-8,3040.0,taker,0.1216,close_all
626007997,2025-11-18T21:05:02.014900,ETH_USDT,63894831468878818,1,3046.87,taker,0.01523435,api
626007996,2025-11-18T21:05:01.958000,ETH_USDT,63894831468878777,1,3046.87,taker,0.01523435,api
626007995,2025-11-18T21:05:01.844500,ETH_USDT,63894831468878717,1,3046.87,taker,0.01523435,api
626007993,2025-11-18T21:05:01.788300,ETH_USDT,63894831468878700,1,3046.87,taker,0.01523435,api
626007992,2025-11-18T21:05:01.676300,ETH_USDT,63894831468878611,1,3046.87,taker,0.01523435,api
626007989,2025-11-18T21:05:01.619900,ETH_USDT,63894831468878485,1,3046.95,taker,0.01523475,api
626007985,2025-11-18T21:05:01.507300,ETH_USDT,63894831468878220,1,3047.13,taker,0.01523565,api
626007984,2025-11-18T21:05:01.449500,ETH_USDT,63894831468878155,1,3047.13,taker,0.01523565,api
626007983,2025-11-18T21:05:01.354900,ETH_USDT,63894831468878039,-2,3047.41,taker,0.0304741,close_all
626007982,2025-11-18T21:05:01.354900,ETH_USDT,63894831468878038,6,3047.42,taker,0.0914226,close_all
626006885,2025-11-18T21:02:17.145800,ETH_USDT,63894831468760912,1,3044.46,taker,0.0152223,api
626006884,2025-11-18T21:02:17.089800,ETH_USDT,63894831468760842,1,3044.25,taker,0.01522125,api
626006878,2025-11-18T21:02:16.163100,ETH_USDT,63894831468760053,-1,3044.18,taker,0.0152209,api
626006877,2025-11-18T21:02:16.105300,ETH_USDT,63894831468760020,-1,3044.18,taker,0.0152209,api
626006876,2025-11-18T21:02:15.993700,ETH_USDT,63894831468759975,-1,3044.18,taker,0.0152209,api
626006875,2025-11-18T21:02:15.937600,ETH_USDT,63894831468759926,-1,3044.18,taker,0.0152209,api
626006874,2025-11-18T21:02:15.825600,ETH_USDT,63894831468759864,-1,3044.14,taker,0.0152207,api
626006873,2025-11-18T21:02:15.769500,ETH_USDT,63894831468759857,-1,3044.14,taker,0.0152207,api
626006870,2025-11-18T21:02:15.663800,ETH_USDT,63894831468759793,-10,3044.14,taker,0.152207,close_all
626005374,2025-11-18T20:59:44.055900,ETH_USDT,63894831468632507,1,3047.1,taker,0.0152355,api
626005373,2025-11-18T20:59:43.998900,ETH_USDT,63894831468632467,1,3047.1,taker,0.0152355,api
626005371,2025-11-18T20:59:43.884800,ETH_USDT,63894831468632418,1,3047.1,taker,0.0152355,api
626005370,2025-11-18T20:59:43.828600,ETH_USDT,63894831468632411,1,3047.1,taker,0.0152355,api
626005369,2025-11-18T20:59:43.717500,ETH_USDT,63894831468632364,1,3047.1,taker,0.0152355,api
626005368,2025-11-18T20:59:43.661800,ETH_USDT,63894831468632324,1,3047.1,taker,0.0152355,api
626005367,2025-11-18T20:59:43.551200,ETH_USDT,63894831468632273,1,3047.1,taker,0.0152355,api
626005366,2025-11-18T20:59:43.487900,ETH_USDT,63894831468632269,1,3047.1,taker,0.0152355,api
